,r-BM,k-CK,k-CY,e-DS,e-DT,k-DT,r-HL,r-HS,k-HY,e-JF,k-JF,e-JL,k-KD,e-KD,k-LB,e-MK,e-MN,r-PW,e-TB,k-WC,r-YD,e-YJ,r-BG
r-BM,0,16.2976448575431,2.45903836207313,8.24419112082651,15.3869233871587,15.3869233871587,4.56886203857404,2.30874016140531,16.5234151746833,17.710784159191,17.710784159191,3.79456826369623,6.48965592861763,6.48965592861763,17.4906031473471,5.18599317392615,7.78174022530617,9.61830595839095,10.1298104888388,17.0189389666167,2.22831009008362,2.66209446886276,2.45737627085476
k-CK,16.2976448575431,0,13.8413099377105,8.91693960717288,19.397740886687,19.397740886687,12.1708941050157,16.9213239394179,0.570502567537516,6.66841731662834,6.66841731662834,16.2247505763772,10.0350607734073,10.0350607734073,1.33343256029141,11.2777868219446,12.8660522557277,6.80042402090484,8.19125953834568,2.08064433955665,15.6135385506136,15.7281005000026,13.9607937293189
k-CY,2.45903836207313,13.8413099377105,0,5.92825895554399,15.0651961736551,15.0651961736551,2.38872251915193,3.63545878203903,14.0725268816527,15.4169580317873,15.4169580317873,4.13750919485965,4.08311350521451,4.08311350521451,15.0316547103884,2.79122372942767,6.41159623300703,7.16498852684662,8.00935750319201,14.5967804367521,2.55595450131916,2.96223211426421,0.605764075396006
e-DS,8.24419112082651,8.91693960717288,5.92825895554399,0,18.0109974659291,18.0109974659291,3.68672446646233,8.27764148361878,9.29334871559292,9.48922657132079,9.48922657132079,7.3589890450022,1.97818478082002,1.97818478082002,9.90345061462023,3.1597342118968,4.39925620143812,2.46025924580344,6.99098757188926,10.2377827566028,6.99953614733234,7.01899511727773,5.78982813898155
e-DT,15.3869233871587,19.397740886687,15.0651961736551,18.0109974659291,0,1.77635683940025e-15,16.5872090487558,17.6933299609688,19.1386940317921,24.9413805186023,24.9413805186023,18.95136823451,16.41384789027,16.41384789027,20.6352478950388,16.0198539809869,20.9418654595494,16.8651383852979,12.0054845173476,18.339213804927,17.2351729796052,17.7107564988089,15.6692963975618
k-DT,15.3869233871587,19.397740886687,15.0651961736551,18.0109974659291,1.77635683940025e-15,0,16.5872090487558,17.6933299609688,19.1386940317921,24.9413805186023,24.9413805186023,18.95136823451,16.41384789027,16.41384789027,20.6352478950388,16.0198539809869,20.9418654595494,16.8651383852979,12.0054845173476,18.339213804927,17.2351729796052,17.7107564988089,15.6692963975618
r-HL,4.56886203857404,12.1708941050157,2.38872251915193,3.68672446646233,16.5872090487558,16.5872090487558,0,4.75105545669984,12.4691098662493,13.1420736297067,13.1420736297067,4.26571429164323,2.13692144358184,2.13692144358184,13.2784634866806,1.02679684788771,4.38567769456079,5.37068733433546,7.6879940514986,13.1818356030885,3.44373567053727,3.57174937978668,2.13228557673349
r-HS,2.30874016140531,16.9213239394179,3.63545878203903,8.27764148361878,17.6933299609688,17.6933299609688,4.75105545669984,0,17.214255578257,17.4458381413601,17.4458381413601,1.79499486110119,6.88627100398241,6.88627100398241,18.0268196108837,5.66773480420481,6.58164284841271,10.121548596269,11.6381441260291,17.8866351175844,1.30787013058969,1.28146411849058,3.22694047520439
k-HY,16.5234151746833,0.570502567537516,14.0725268816527,9.29334871559292,19.1386940317921,19.1386940317921,12.4691098662493,17.214255578257,0,7.19578323265049,7.19578323265049,16.5648739025167,10.3323307125132,10.3323307125132,1.49687458029946,11.5557415694992,13.3100123792554,7.10848437557577,8.13064874586675,1.51376394943539,15.9066084130947,16.0353204742783,14.2138039936191
e-JF,17.710784159191,6.66841731662834,15.4169580317873,9.48922657132079,24.9413805186023,24.9413805186023,13.1420736297067,17.4458381413601,7.19578323265049,0,0,16.1571792173239,11.3839866844074,11.3839866844074,6.14467272718157,12.637323316482,11.4978051141892,8.89525074253263,12.9818083638872,8.67251595765945,16.2493587957099,16.1650029947956,15.266461444806
